,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot
99836,parahippocampal gyrus,GARS,2.6629,1.1413321917461419,3.1113,"lateral group of nuclei, ventral division",0.9689708469153352,P41250
100124,parahippocampal gyrus,SUMO1,8.6046,1.095382730973157,7.6686,lateral tuberal nucleus,0.7776530981623223,P63165
100250,parahippocampal gyrus,MTHFD2,8.8724,1.196194326359028,8.0186,perifornical nucleus,0.9117935718588487,P13995
100635,parahippocampal gyrus,TMBIM6,2.7519,1.107828711576827,3.0983,"inferior frontal gyrus, opercular part",0.9739532073669204,P55061
101013,parahippocampal gyrus,TEF,2.7623,1.1039136981637834,3.427,substantia nigra,0.8479761396410682,Q10587
101133,parahippocampal gyrus,GLYAT,9.1271,1.2920745106188536,6.9752,VIIB,0.5119016568446897,Q6IB77
101333,parahippocampal gyrus,RNF8,9.7436,1.524151988420905,7.1354,inferior olivary complex,0.5732996679480712,O76064
101423,parahippocampal gyrus,MESDC2,8.9433,1.2228841774152575,8.2018,VIIB,0.9820065283765739,Q14696
101463,parahippocampal gyrus,GSTA4,8.7443,1.1479719015310594,8.0431,dentate gyrus,0.9211834050176061,O15217
101473,parahippocampal gyrus,PLP2,8.8241,1.1780121006042197,8.2388,paraventricular nuclei of thalamus,0.9961870927387777,Q04941
101707,short insular gyri,C1orf35,2.9068,1.049517598338323,3.1506,"paracentral lobule, anterior part",0.9539087880116967,Q9BU76
101747,parahippocampal gyrus,MMP1,9.2873,1.35238077492362,8.2362,VIIB,0.995190620648461,P03956
101757,parahippocampal gyrus,HLA-DPB1,9.3354,1.3704877119589463,8.0088,dentate gyrus,0.9080376385953466,P04440
102030,parahippocampal gyrus,AKR1C3,8.8929,1.203911420105892,7.3632,substantia nigra,0.6606059533996962,A0A0A0MSS8
102050,parahippocampal gyrus,DCHS1,2.3811,1.247413997495725,3.087,perifornical nucleus,0.9782840283748367,Q96JQ0
102080,parahippocampal gyrus,PTCH2,1.6822,1.510510427724198,3.1535,"lateral group of nuclei, dorsal division",0.9527973383724968,Q9Y6C5
102360,parahippocampal gyrus,PTH1R,2.8167,1.0834351664647868,3.4898,substantia nigra,0.8239075060749488,Q03431
102405,parahippocampal gyrus,PTH2R,1.7813,1.4732048672210623,5.5742,head of the caudate nucleus,0.025043496437691944,P49190
102843,short insular gyri,TPSG1,2.8814,1.059079265712487,4.6449,substantia nigra,0.38120561702678374,Q9NRR2
102923,parahippocampal gyrus,RRP8,2.5062,1.2003209034599802,3.0579,basomedial nucleus,0.9894368506164624,O43159
102953,parahippocampal gyrus,SOX10,2.149,1.334786556454129,3.2293,paraterminal gyrus,0.923746344354792,P56693
103133,parahippocampal gyrus,SOX12,2.8974,1.0530561681539585,3.224,basomedial nucleus,0.9257776143850536,O15370
103250,parahippocampal gyrus,ME3,8.7211,1.1392384100711925,7.9116,CA1 field,0.8707849127573394,A0A088AWL2
103352,parahippocampal gyrus,CFHR4,2.5456,1.185489025722104,3.3349,pineal gland,0.8832742471480685,Q92496
103372,parahippocampal gyrus,EXT2,1.8632,1.4423741365933445,3.1172,VIIB,0.966709621787308,Q93063
103392,parahippocampal gyrus,EBF1,2.3112,1.2737274049545464,3.3647,pineal gland,0.87185314395905,A0A087WTE5
103721,parahippocampal gyrus,OAZ1,9.0244,1.2534137531650484,6.7189,substantia nigra,0.4136725042492046,P54368
104001,parahippocampal gyrus,OAT,8.5543,1.076447618023533,7.9525,CA1 field,0.8864601852550191,P04181
104101,parahippocampal gyrus,PCDH8,2.6337,1.1523243447904563,3.1041,"paracentral lobule, posterior part",0.9717303080885209,O95206
104469,parahippocampal gyrus,PCK2,11.1988,2.0719527113690717,7.5599,substantia nigra,0.7359928996171441,A0A0A0MS74
104933,parahippocampal gyrus,CARM1,8.6146,1.099147166947237,7.281,substantia nigra,0.6291021050058262,Q86X55
105444,parahippocampal gyrus,UNC13B,2.8538,1.0694691090009487,3.6928,substantia nigra,0.7461060313309633,A0A087WV83
105504,parahippocampal gyrus,ENOX2,2.3069,1.275346112423401,3.0388,substantia nigra,0.9967570878953299,Q16206
105680,short insular gyri,STK25,8.5457,1.073210203085824,8.2253,lateral tuberal nucleus,0.991013103039055,O00506
105779,parahippocampal gyrus,CRTAP,8.5108,1.0600723215362837,8.0671,lateral tuberal nucleus,0.9303816089282247,O75718
105799,parahippocampal gyrus,CCIN,1.6514,1.5221048905243655,3.2546,substantia nigra,0.9140499043990145,Q13939
106100,short insular gyri,CCK,2.9718,1.025048764506801,3.1247,substantia nigra,0.9638351830652396,P06307
106625,parahippocampal gyrus,KRIT1,8.8872,1.2017656916006667,6.2555,substantia nigra,0.2360705170750035,O00522
106635,parahippocampal gyrus,ZKSCAN3,1.7935,1.4686122553326841,3.9833,paraventricular nucleus of the hypothalamus,0.6347694381628464,Q9BRR0
106705,parahippocampal gyrus,KLHL15,1.6572,1.519921517659399,3.5894,VIIB,0.78573495984588,Q96M94
107020,parahippocampal gyrus,APP,2.872,1.0626178355281226,3.0785,basomedial nucleus,0.9815417255931811,A0A0A0MRG2
107030,parahippocampal gyrus,LIMK1,2.1796,1.3232673823734433,3.0419,medial parabrachial nucleus,0.995568986556875,P53667
107170,parahippocampal gyrus,SYT4,8.9668,1.2317306019543457,8.2137,lateral tuberal nucleus,0.9865673044822554,Q9H2B2
107562,parahippocampal gyrus,SUV39H2,2.9533,1.0320129710588495,3.0946,"inferior frontal gyrus, opercular part",0.975371263803141,Q9H5I1
107992,parahippocampal gyrus,NT5C,2.9797,1.0220748600872775,3.1332,postcentral gyrus,0.9605774858468954,Q8TCD5
108022,parahippocampal gyrus,HES1,9.7484,1.5259589176884631,8.0885,lateral tuberal nucleus,0.9385833407485266,Q14469
108076,parahippocampal gyrus,ARHGEF11,2.0848,1.3589542354077246,3.0445,lateral tuberal nucleus,0.9945725144665578,O15085
