,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot,GO
7421,parahippocampal gyrus,ARHGAP6,9.3275,1.367513807539423,8.0842,lateral tuberal nucleus,0.9369353292145405,O43182,"[u'GO:0005070', u'GO:0005100', u'GO:0005737', u'GO:0005829', u'GO:0005884', u'GO:0007202', u'GO:0007264', u'GO:0007266', u'GO:0009967', u'GO:0010518', u'GO:0015629', u'GO:0016004', u'GO:0017124', u'GO:0030041', u'GO:0032321', u'GO:0043087', u'GO:0043274', u'GO:0048041', u'GO:0051056', u'GO:0051497', u'GO:0051895']"
7431,parahippocampal gyrus,RHOH,9.0032,1.2454331488999981,7.938,paraventricular nuclei of thalamus,0.8809029370590202,Q15669,"[u'GO:0001772', u'GO:0005095', u'GO:0005515', u'GO:0005515', u'GO:0005525', u'GO:0005737', u'GO:0005829', u'GO:0005829', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0005886', u'GO:0006355', u'GO:0007264', u'GO:0017048', u'GO:0019210', u'GO:0030217', u'GO:0042326', u'GO:0043086', u'GO:0043124', u'GO:0045576', u'GO:0051056']"
7942,parahippocampal gyrus,FOXO1,2.9504,1.0331046574913327,3.4377,substantia nigra,0.8438752737309173,Q12778,"[u'GO:0000122', u'GO:0000981', u'GO:0000989', u'GO:0001078', u'GO:0001568', u'GO:0001659', u'GO:0001678', u'GO:0003682', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005634', u'GO:0005634', u'GO:0005634', u'GO:0005634', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005654', u'GO:0005737', u'GO:0005737', u'GO:0005737', u'GO:0005737', u'GO:0005739', u'GO:0005829', u'GO:0005829', u'GO:0006366', u'GO:0006473', u'GO:0006914', u'GO:0006915', u'GO:0006974', u'GO:0007173', u'GO:0008286', u'GO:0008543', u'GO:0009267', u'GO:0009267', u'GO:0010508', u'GO:0031018', u'GO:0031018', u'GO:0031625', u'GO:0032869', u'GO:0032873', u'GO:0034599', u'GO:0035947', u'GO:0038095', u'GO:0043065', u'GO:0043066', u'GO:0043565', u'GO:0045087', u'GO:0045444', u'GO:0045599', u'GO:0045599', u'GO:0045722', u'GO:0045732', u'GO:0045892', u'GO:0045893', u'GO:0045893', u'GO:0045893', u'GO:0045944', u'GO:0045944', u'GO:0048011', u'GO:0048015', u'GO:0051721', u'GO:0070417', u'GO:0071455', u'GO:0071732', u'GO:0090090', u'GO:0097150', u'GO:2000177', u'GO:2000377', u'GO:2000505']"
8122,parahippocampal gyrus,KCNA10,2.8274,1.0794072199725206,3.9611,pineal gland,0.6432777767801688,Q16322,"[u'GO:0005221', u'GO:0005251', u'GO:0005886', u'GO:0006813', u'GO:0007268', u'GO:0008076', u'GO:0016021', u'GO:0034765', u'GO:0051260', u'GO:0071805']"
8458,parahippocampal gyrus,MYH2,8.506,1.0582653922687253,7.7468,lateral tuberal nucleus,0.8076239125710893,Q9UKX2,"[u'GO:0000146', u'GO:0001778', u'GO:0003779', u'GO:0005515', u'GO:0005516', u'GO:0005524', u'GO:0005794', u'GO:0005826', u'GO:0005829', u'GO:0005859', u'GO:0005859', u'GO:0005911', u'GO:0006936', u'GO:0006936', u'GO:0008152', u'GO:0008152', u'GO:0014823', u'GO:0030016', u'GO:0030017', u'GO:0030049', u'GO:0031672', u'GO:0032982', u'GO:0038096', u'GO:0043234', u'GO:0045087', u'GO:0061024']"
8728,long insular gyri,MYH3,2.9953,1.0162023399677123,3.2965,substantia nigra,0.8979913734050589,P11055,"[u'GO:0000146', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0000146', u'GO:0003009', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0005516', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0005524', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005829', u'GO:0005859', u'part_of(CL:0008003),part_of(UBERON:0000922),exists_during(GO:0009790)', u'GO:0007517', u'GO:0008152', u'GO:0008152', u'GO:0008152', u'GO:0030017', u'part_of(CL:0008003),part_of(UBERON:0000922),exists_during(GO:0009790)', u'GO:0030048', u'GO:0030049', u'GO:0030326', u'GO:0003009', u'GO:0032982', u'GO:0042623', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0045214', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0051015', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0060325', u'GO:0003009', u'occurs_in(UBERON:0000922),part_of(GO:0009790)', u'GO:0070062']"
8738,parahippocampal gyrus,MYH9,1.7093,1.5003088062344405,4.0549,cochlear nuclei,0.6073281298294998,P35579,"[u'GO:0000146', u'GO:0000146', u'GO:0000212', u'GO:0000910', u'GO:0001525', u'GO:0001701', u'GO:0001725', u'GO:0001725', u'GO:0001725', u'GO:0001725', u'GO:0001725', u'GO:0001726', u'GO:0001768', u'GO:0001931', u'GO:0003774', u'GO:0003779', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0031252)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'occurs_in(GO:0005634)|occurs_in(GO:0032154)|occurs_in(GO:0005829)', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005515', u'GO:0005516', u'GO:0005524', u'GO:0005524', u'GO:0005634', u'GO:0005737', u'GO:0005819', u'GO:0005826', u'GO:0005829', u'GO:0005886', u'GO:0005886', u'GO:0005913', u'GO:0006509', u'GO:0007229', u'GO:0007411', u'GO:0007520', u'GO:0008360', u'GO:0015031', u'GO:0015629', u'GO:0016020', u'GO:0016460', u'GO:0016887', u'GO:0030048', u'GO:0030048', u'GO:0030220', u'GO:0030224', u'GO:0030863', u'GO:0030898', u'GO:0030898', u'GO:0031032', u'dependent_on(GO:0016887)', u'GO:0031252', u'GO:0031532', u'GO:0031594', u'GO:0032154', u'GO:0032154', u'GO:0032796', u'GO:0038032', u'GO:0042641', u'GO:0042803', u'GO:0043234', u'GO:0043495', u'GO:0043531', u'GO:0043534', u'GO:0044822', u'GO:0048013', u'GO:0050900', u'GO:0051015', u'GO:0051015', u'GO:0051015', u'GO:0051015', u'GO:0051295', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070062', u'GO:0070527', u'GO:0097513', u'GO:0001772', u'GO:0005886', u'GO:0008180', u'GO:0008305', u'GO:0030898', u'GO:0051015']"
9200,parahippocampal gyrus,AFM,2.8229,1.0811012161608569,3.7175,precentral gyrus,0.7366395464729514,P43652,"[u'GO:0005576', u'GO:0005615', u'GO:0005615', u'GO:0005615', u'GO:0008431', u'GO:0051180', u'GO:0070062', u'GO:0070062', u'GO:0072562']"
9461,parahippocampal gyrus,TTC39A,8.4704,1.0448640002009992,7.7611,lateral tuberal nucleus,0.813104509067833,A0A0A0MRQ0, 
9706,parahippocampal gyrus,CORO2B,2.5697,1.1764167350245702,3.5309,substantia nigra,0.8081555818780137,Q9UQ03,"[u'GO:0003779', u'GO:0005737', u'GO:0015629', u'GO:0015629', u'GO:0016020', u'GO:0030036', u'GO:0030036', u'GO:0051015']"
